,Вопрос абонента,Тематика
0,Здравствуйте. Интересует возможность использования функционала приложения  в других приложениях (софтофонах). Спасибо,33
2,"Подскажите пожалуйста, работает ли  в египте ?",33
3,Здравствуйте. Почему не приходят короткие сообщения от банков в приложении  ?,33
5,"Здравствуйте. У меня проблема с одновременным использованием услуги Мультифон и приложения  . Номер в качестве SIP-транка зарегистрирован на моем сервере Asterisk, а если я вхожу в приложение  , то пароль автоматически меняется на другой и его приходится запрашивать заново командой *137# Могу ли я отключить автоматическую смену пароля (SIP мультифон) при входе в приложение  ? Спасибо",33
9,"Да, верно. Я с  звоню свободно, а вот мне люди звонят и говорят у меня ограничение связи",33
10,"Здравствуйте. У меня проблема с одновременным использованием услуги Мультифон и приложения  . Номер в качестве SIP-транка зарегистрирован на моем сервере Asterisk, а если я вхожу в приложение  , то пароль автоматически меняется на другой и его приходится запрашивать заново командой *137# Могу ли я отключить автоматическую смену пароля (SIP мультифон) при входе в приложение  ? Спасибо",33
11,вопрос по приложению ,33
12,День добрый! Установил приложение  при авторизации выдаёт одну и ту же ошибку прилагаю скан!,33
13,как зайти в  ?,33
14,"доброе утро, установил приложение  , при попытке зарегистрироваться ввожу номер, получаю смс с кодом , ввожу код , появляется крутящийся значок и на этом всё, приложение подвисает. переустановка не помогла. Что нужно сделать, чтобы зарегистрироваться в приложении?",33
15,вопрос про ,33
16,Как включить  ?,33
17,установил приложение ,33
18,"Добрый день. Недавно я оставлял заявку в тех поддержку и получил следующий ответ. Здравствуйте, Максим Владиславович! Это поддержка. Услуга "" eМotion звонки "" предполагает использование приложения ""eМotion "", иначе работать не будет. Для пользования SIP-телефонией через терминалы пользователя Вам необходимо подключить услугу для корпоративных клиентов ""Мультифон бизнес "". Без данной услуги работа невозможна. Но ведь я и использую  . Абсолютно не понимаю как ответ тех.поддержка а) решает мою проблему б) вообще хоть как то пересекается с проблемой. Хочу оставить отрицательный отзыв и попросить заново открыть обращение закрытое обращение",33
19,Нет не поэтому. Я задавала вопрос оператору и иое спец предложение действует на звонки с ,33
20,Подключите пожалуйста опцию ,33
22,Добрый день! Я хочу отключить услугу ,33
23,приложение  не приходят смс,33
24,приложение ,33
25,"Здравствуйте! Хочу подключить   и получаю ошибку , ""Неизвестная ошибка 100041 """,33
26,"Добрый день. неделю не могу подключить  . смс приходят, авторизация не проходит. проверял на разных устройствах",33
27,у меня проблемы с подключением  не верный код из смс хотя все правильно,33
28, звонки отключите пожалуйста,33
29,"День добрый. не могу зайти в  . на этапе регистрации получаю СМС, ввожу, начинает крутиться кружок и... до бесконечности. до этого где-то в сентябре пользовался, всё норм было. сегодня не смог зайти. приложение удалили, скачал и поставил заново. пробовал  , 4g - результат нулевой. у меня есть вторая сим, номер +7(928)33-444-00 . под этим номером элементарно зашёл, получил и умер? ввёл СМС, сделал тестовый звонок",33
30,не работает ,33
31,"добрый день. при использовании услуги дополнительный номер я смогу основным номером пользоваться, как обычно из меню аппарата, а дополнительным номером только через приложение  ? и что будет происходить, если мне одновременно позвонять на оба номера?",33
33,Приложение ,33
34,Здравствуйте! Как пользоваться  ?,33
36, звонки,33
37, Сообщения не работают,33
38,Какой «транспорт» и «кодек» лучше установить в расширенных настройках приложения  на iPhone 6S iOS 14.5.1 (если это имеет значение) и в каких случаях и для чего нужно из менять?,33
39,В  не переключается между номерами. Почините пожалуйста. Очень срочно надо. ,33
40,"Добрый день! Не работает программа  , т.к она не загружает номер ",33
41,В  не переключается между номерами. Почините пожалуйста. Очень срочно надо.,33
42,При попытки поделючения примки звонков через  выдается сообшение о отсутсвии подключения к иетернет. Хотя я Вам это сообшение пишу. ,33
43,Здравствуйте. Не могу подключить ,33
44,подскажите. я сегодня получил звонок по  но номер не сохранился в регистре. Как я могу его узнать?,33
45,Не могу зайти в ,33
47,Проблема с ,33
48,"Здравствуйте, сейчас нахожусь в другой стране, пользуюсь  , почему не приходят смс со Сбербанк инвестор на приложение  ?",33
49,Не работают звонки в ,33
50,Здравствуйте. Вы так и не починили услугу  ? Или вы вообще перестали её предоставлять?,33
51,Не работает приложение ,33
52,"здравствуйте! поставил себе приложение  . нахожусь в Грузии и не могу принять ни один звонок. во время звонка нет активной кнопки для его приема. исходящие звонки проходят нормально. подскажите, как пользоваться приложением для приёма входящих?",33
53,"Здравствуйте! Столкнулся с проблемой в приложении  . Проходит входящий звонок, сразу сбрасывается, иногда вообще не проходит звонок входящий. Если успеваю нажать на трубку звонка, то пишет программа: «Сбой вызова».",33
54,"нахожусь в Донецке (бывшая украина ), на балансе 430руб, установлен е-motion , однако при входящих звонках я не могу ответить на на них в вышеуказанном приложении, я их слышу, но диалоговое окно даже не открывается",33
55, использование в Египте,33
56,Я потключил еmontion,33
57,Нет звонков в  в Египте,33
58,приложения ,33
59,Невозможно принять звонок в  на xiaomi mi note 10 .,33
60,"здравствуйте, приложение  не принимает звонки с телефонных номеров банков , сетевых магазинов и прочих. с чем это связанно?",33
61,"добрый день! нахожусь в Крыму . могу ли я скачать программу  минуя сервисы гугл. Например, с вашего сайта. Гугл в Крыму не работает",33
62,Добрый день! при подключении приложения  . после ввода кода из смс пишет что ошибка биллинга и не подключается приложение?,33
63,приложение ,33
64,не входит в программу ,33
65,"недавно подавалась заявка о неработающим  , туда мне не приходили сообщения от дополнительных номеров. сегодня мне пришёл ответ на заявку, что все хорошо, но сообщения от дополнительных номеров в  не приходят",33
66,регистрация в ,33
67,"здравствуйте, почему не работает  ?",33
68,включите мне программу ,33
70,"здравствуйте, приложение  работает как то странно ,если случайно свернуть приложение во время звонка , звонок принять не получится , потому что не удается открыть окно приёма его нигде нет",33
