,Вопрос абонента,Тематика
0,Здравствуйте. Интересует возможность использования функционала приложения eMotion в других приложениях (софтофонах). Спасибо,33
1,eMotion,33
2,"Подскажите пожалуйста, работает ли emotion в египте ?",33
3,Здравствуйте. Почему не приходят короткие сообщения от банков в приложении eMotion ?,33
4,Emotion,33
5,"Здравствуйте. У меня проблема с одновременным использованием услуги Мультифон и приложения Emotion . Номер в качестве SIP-транка зарегистрирован на моем сервере Asterisk, а если я вхожу в приложение Emotion , то пароль автоматически меняется на другой и его приходится запрашивать заново командой *137# Могу ли я отключить автоматическую смену пароля (SIP мультифон) при входе в приложение Emotion ? Спасибо",33
6,eMotion,33
7,Emotion,33
8,Emotion,33
9,"Да, верно. Я с eMotion звоню свободно, а вот мне люди звонят и говорят у меня ограничение связи",33
10,"Здравствуйте. У меня проблема с одновременным использованием услуги Мультифон и приложения Emotion . Номер в качестве SIP-транка зарегистрирован на моем сервере Asterisk, а если я вхожу в приложение Emotion , то пароль автоматически меняется на другой и его приходится запрашивать заново командой *137# Могу ли я отключить автоматическую смену пароля (SIP мультифон) при входе в приложение Emotion ? Спасибо",33
11,вопрос по приложению Emotion,33
12,День добрый! Установил приложение emotion при авторизации выдаёт одну и ту же ошибку прилагаю скан!,33
13,как зайти в emotion ?,33
14,"доброе утро, установил приложение emotion , при попытке зарегистрироваться ввожу номер, получаю смс с кодом , ввожу код , появляется крутящийся значок и на этом всё, приложение подвисает. переустановка не помогла. Что нужно сделать, чтобы зарегистрироваться в приложении?",33
15,вопрос про emotion,33
16,Как включить emotion ?,33
17,установил приложение eMotion,33
18,"Добрый день. Недавно я оставлял заявку в тех поддержку и получил следующий ответ. Здравствуйте, Максим Владиславович! Это поддержка. Услуга "" eМotion звонки "" предполагает использование приложения ""eМotion "", иначе работать не будет. Для пользования SIP-телефонией через терминалы пользователя Вам необходимо подключить услугу для корпоративных клиентов ""Мультифон бизнес "". Без данной услуги работа невозможна. Но ведь я и использую eMotion . Абсолютно не понимаю как ответ тех.поддержка а) решает мою проблему б) вообще хоть как то пересекается с проблемой. Хочу оставить отрицательный отзыв и попросить заново открыть обращение закрытое обращение",33
19,Нет не поэтому. Я задавала вопрос оператору и иое спец предложение действует на звонки с eMotion,33
20,Подключите пожалуйста опцию emotion,33
21,Emotion,33
22,Добрый день! Я хочу отключить услугу eMotion,33
23,приложение emotion не приходят смс,33
24,приложение emotion,33
25,"Здравствуйте! Хочу подключить  eMotion и получаю ошибку , ""Неизвестная ошибка 100041 """,33
26,"Добрый день. неделю не могу подключить emotion . смс приходят, авторизация не проходит. проверял на разных устройствах",33
27,у меня проблемы с подключением eMotion не верный код из смс хотя все правильно,33
28,emotion звонки отключите пожалуйста,33
29,"День добрый. не могу зайти в emotion . на этапе регистрации получаю СМС, ввожу, начинает крутиться кружок и... до бесконечности. до этого где-то в сентябре пользовался, всё норм было. сегодня не смог зайти. приложение удалили, скачал и поставил заново. пробовал WiFi , 4g - результат нулевой. у меня есть вторая сим, номер +7(928)33-444-00(phone_number) . под этим номером элементарно зашёл, получил и умер? ввёл СМС, сделал тестовый звонок",33
30,не работает emotion,33
31,"добрый день. при использовании услуги дополнительный номер я смогу основным номером пользоваться, как обычно из меню аппарата, а дополнительным номером только через приложение emotion ? и что будет происходить, если мне одновременно позвонять на оба номера?",33
32,eMotion,33
33,Приложение emotion,33
34,Здравствуйте! Как пользоваться emotions ?,33
35,eMotion,33
36,eMotion звонки,33
37,eMotion Сообщения не работают,33
38,Какой «транспорт» и «кодек» лучше установить в расширенных настройках приложения eMotion на iPhone 6S iOS 14.5.1 (если это имеет значение) и в каких случаях и для чего нужно из менять?,33
39,В e-motion не переключается между номерами. Почините пожалуйста. Очень срочно надо. ,33
40,"Добрый день! Не работает программа e-motion , т.к она не загружает номер ",33
41,В e-motion не переключается между номерами. Почините пожалуйста. Очень срочно надо.,33
42,При попытки поделючения примки звонков через e-motion выдается сообшение о отсутсвии подключения к иетернет. Хотя я Вам это сообшение пишу. volte,33
43,Здравствуйте. Не могу подключить e-motion,33
44,подскажите. я сегодня получил звонок по emotion но номер не сохранился в регистре. Как я могу его узнать?,33
45,Не могу зайти в eMotion,33
46,Emotion,33
47,Проблема с e-motion,33
48,"Здравствуйте, сейчас нахожусь в другой стране, пользуюсь emotion , почему не приходят смс со Сбербанк инвестор на приложение emotion ?",33
49,Не работают звонки в emotion,33
50,Здравствуйте. Вы так и не починили услугу eMotion ? Или вы вообще перестали её предоставлять?,33
51,Не работает приложение eMotion,33
52,"здравствуйте! поставил себе приложение emotion . нахожусь в Грузии и не могу принять ни один звонок. во время звонка нет активной кнопки для его приема. исходящие звонки проходят нормально. подскажите, как пользоваться приложением для приёма входящих?",33
53,"Здравствуйте! Столкнулся с проблемой в приложении Emotion . Проходит входящий звонок, сразу сбрасывается, иногда вообще не проходит звонок входящий. Если успеваю нажать на трубку звонка, то пишет программа: «Сбой вызова».",33
54,"нахожусь в Донецке (бывшая украина ), на балансе 430руб, установлен е-motion , однако при входящих звонках я не могу ответить на на них в вышеуказанном приложении, я их слышу, но диалоговое окно даже не открывается",33
55,Emotion использование в Египте,33
56,Я потключил еmontion,33
57,Нет звонков в emotion в Египте,33
58,приложения eMotion,33
59,Невозможно принять звонок в emotion на xiaomi mi note 10 .,33
60,"здравствуйте, приложение emotion не принимает звонки с телефонных номеров банков , сетевых магазинов и прочих. с чем это связанно?",33
61,"добрый день! нахожусь в Крыму . могу ли я скачать программу emotion минуя сервисы гугл. Например, с вашего сайта. Гугл в Крыму не работает",33
62,Добрый день! при подключении приложения emotion . после ввода кода из смс пишет что ошибка биллинга и не подключается приложение?,33
63,приложение eMotion,33
64,не входит в программу e-motion,33
65,"недавно подавалась заявка о неработающим emotion , туда мне не приходили сообщения от дополнительных номеров. сегодня мне пришёл ответ на заявку, что все хорошо, но сообщения от дополнительных номеров в emotion не приходят",33
66,регистрация в emotion,33
67,"здравствуйте, почему не работает emotion ?",33
68,включите мне программу emotion,33
69,Emotion,33
70,"здравствуйте, приложение emotion работает как то странно ,если случайно свернуть приложение во время звонка , звонок принять не получится , потому что не удается открыть окно приёма его нигде нет",33
71,Звонки через приложение eMotion,33
72,"У меня подключен eMotion , я звоню себе с другого номера(another_number) и слышу, что абонент недоступен - оставьте сообщение на автоответчик, eMotion молчит.",33
73,Здравствуйте! По поводу eMotion : Приложение радует. Пользуюсь записью разговоров. Скажите п-та: где на телефоне (в какой папке) хранятся файлы записи и как их извлечь? Спасибо..,33
74,"через emotion с банка не приходят смс, а с фейсбука и от вас доходят.Что делать?",33
75,на сим-карту приходят в программу Emotion не приходят,33
76,Здравствуйте точка не приходит SMS на программу e-motion . что может быть?,33
77,Отключить emotion,33
78,Не могу подключить на этот номер E motion,33
79,здравствуйте как установит приложение emotio,33
80,необходим код активации eMotion для этого номера,33
81,"У меня в e-Motion перебой на входящие звонки и смс-ки,",33
82,я не получаю код от приложении emotion,33
83,В чём разница между Emotion и VOLTE ?,33
84,Подключение emotion,33
85,"Здравствуйте, у меня при регистрации в приложении e-Motion произошла ошибка биллинга. Что это означает и как устранить;",33
86,програма eMotion сбрасывает все входящие звонки,33
87,Не могу подключиться к emotion,33
88,вечер добрый. как на emotion перейти?,33
89,"Не работает eMotion звонки , подключите пожалуйста",33
90,"Здравствуйте, не могу активировать прием звонков через emotion",33
91,"Добрый день! Сижу на месторождении,сотовой связи нет, есть только wi-fi . скачал приложение eMotion для звонков, оно требует код активации который отправляеться на телефон, а связи нет,не могу получить его. можите как нибудь помочь в этом вопросе?",33
92,почему не работатет eMotion ? тел. +79269872297(phone_number),33
